p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.47383034598379	0.658	0.197	0	Neuron	Ccdc34
0	1.47160328236225	0.487	0.03	0	Neuron	Odf3b
0	1.44471141331024	0.734	0.338	0	Neuron	Hspa4
0	1.44234615273446	0.483	0.063	0	Neuron	Tmem108
0	1.41567306437245	0.435	0.009	0	Neuron	Ccdc108
0	1.41553401517993	0.802	0.439	0	Neuron	Tubb4b
0	1.40560107893525	0.506	0.04	0	Neuron	Lrrc51
0	1.40247452829192	0.451	0.013	0	Neuron	Iqca
0	1.40117432337329	0.72	0.209	0	Neuron	Nap1l5
0	1.39785388324296	0.472	0.022	0	Neuron	Pifo
0	1.39549943207617	0.649	0.205	0	Neuron	Map1b
0	1.38907052397302	0.597	0.085	0	Neuron	Strbp
0	1.38603731840134	0.487	0.03	0	Neuron	Prelp
0	1.3850007782376	0.464	0.013	0	Neuron	Spag6l
0	1.37261518881202	0.454	0.013	0	Neuron	Ccdc146
0	1.36826259310611	0.427	0.021	0	Neuron	3300002A11Rik
0	1.36668429411587	0.576	0.127	0	Neuron	Bphl
0	1.35498539308696	0.454	0.01	0	Neuron	Dnah5
0	1.35002271110945	0.738	0.488	0	Neuron	Ifitm3
0	1.34292167039712	0.543	0.055	0	Neuron	Dner
0	1.33936877499972	0.591	0.084	0	Neuron	Zcchc18
0	1.33832862995181	0.511	0.089	0	Neuron	Sox9
0	1.33806306678147	0.656	0.245	0	Neuron	Pde6d
0	1.33784267146038	0.449	0.019	0	Neuron	Ppp1r36
0	1.32872372066269	0.491	0.067	0	Neuron	Wdr60
0	1.32838136462493	0.393	0.041	0	Neuron	Pcp4
0	1.3272521239942	0.439	0.007	0	Neuron	Ttc21a
0	1.31269411352055	0.457	0.019	0	Neuron	Dnali1
0	1.31139519761597	0.252	0.057	0	Neuron	Gria2
0	1.31010914629104	0.453	0.018	0	Neuron	Ccdc113
0	1.30242897513642	0.466	0.025	0	Neuron	1700088E04Rik
0	1.29452673108918	0.477	0.034	0	Neuron	Bex2
0	1.2912869428891	0.422	0.007	0	Neuron	Dnah9
0	1.28519999604518	0.468	0.028	0	Neuron	Nme5
0	1.28310097679203	0.627	0.279	0	Neuron	Pcp4l1
0	1.28306307646539	0.54	0.091	0	Neuron	Endog
0	1.28004614208693	0.896	0.776	0	Neuron	Mt1
0	1.27811331026191	0.557	0.215	0	Neuron	Pfn2
0	1.27711389054872	0.753	0.396	0	Neuron	Nudc
0	1.27576151283473	0.436	0.014	0	Neuron	Fam166b
0	1.2725708418789	0.772	0.425	0	Neuron	Txn1
0	1.26645862275496	0.422	0.024	0	Neuron	Traf1
0	1.25862570605321	0.4	0.006	0	Neuron	Cfap46
0	1.25774516332036	0.862	0.493	0	Neuron	Zbtb20
0	1.25435609335496	0.413	0.025	0	Neuron	Rmst
0	1.25336957450358	0.543	0.117	0	Neuron	Ccnd2
0	1.2500987696148	0.832	0.541	0	Neuron	Itm2c
0	1.24864257883675	0.444	0.025	0	Neuron	Cfap45
0	1.24687758254459	0.495	0.034	0	Neuron	Sox6
0	1.24150750616036	0.618	0.218	0	Neuron	Cetn2
0	1.23950399464902	0.645	0.19	0	Neuron	Lmo4
0	1.23809279136785	0.446	0.018	0	Neuron	Tekt1
0	1.23189046958644	0.412	0.01	0	Neuron	Wdr66
0	1.23097123708637	0.574	0.083	0	Neuron	Tceal3
0	1.2271666519578	0.568	0.125	0	Neuron	Tmem47
0	1.22631862357185	0.841	0.479	0	Neuron	Tspan3
0	1.21800474600804	0.438	0.017	0	Neuron	Capsl
0	1.21432730696487	0.417	0.038	0	Neuron	Adamts20
0	1.21163672503826	0.445	0.014	0	Neuron	Efcab1
0	1.20644948200563	0.441	0.018	0	Neuron	Dmkn
0	1.20563289439085	0.675	0.121	0	Neuron	Ntrk2
0	1.20398818512936	0.561	0.125	0	Neuron	1110004E09Rik
0	1.20176661598066	0.394	0.007	0	Neuron	Rgs22
0	1.201085633	0.419	0.017	0	Neuron	Tctex1d4
0	1.19503905419669	0.363	0.019	0	Neuron	Crygn
0	1.19057838330325	0.489	0.051	0	Neuron	Meis2
0	1.1902447116207	0.555	0.087	0	Neuron	Slc38a1
0	1.18922305525499	0.411	0.027	0	Neuron	Cfap43
0	1.18630336265849	0.477	0.05	0	Neuron	Rabl2
0	1.18525199984751	0.412	0.022	0	Neuron	Nkx6-1
0	1.18220249982226	0.451	0.036	0	Neuron	Spa17
0	1.17969593220468	0.434	0.059	0	Neuron	Ttll3
0	1.17928532669481	0.587	0.108	0	Neuron	Map2
0	1.17631758720305	0.424	0.017	0	Neuron	Lrrc48
0	1.17362934227832	0.421	0.019	0	Neuron	1700001C02Rik
0	1.17352630601917	0.428	0.023	0	Neuron	Meig1
0	1.16289732445204	0.414	0.015	0	Neuron	Ccdc30
0	1.16034693924369	0.476	0.023	0	Neuron	Ctxn1
0	1.16025386039609	0.427	0.017	0	Neuron	1700007G11Rik
0	1.1597535391642	0.551	0.125	0	Neuron	Hspa4l
0	1.15402322014033	0.56	0.191	0	Neuron	Trp53bp2
0	1.1504827549992	0.6	0.226	0	Neuron	Hipk1
0	1.14756640644096	0.59	0.187	0	Neuron	Cspp1
0	1.14520509937364	0.376	0.019	0	Neuron	Clec3b
0	1.14081132254653	0.437	0.028	0	Neuron	Atp2b4
0	1.13092431350865	0.375	0.008	0	Neuron	Ccdc180
0	1.12695161409214	0.421	0.117	0	Neuron	Cntn1
0	1.1223766521705	0.546	0.1	0	Neuron	Chchd6
0	1.1220347858629	0.662	0.265	0	Neuron	Cnn3
0	1.12103731616815	0.949	0.805	0	Neuron	Tuba1a
0	1.1202210860475	0.374	0.038	0	Neuron	Chek2
0	1.11995233082604	0.384	0.007	0	Neuron	Dnah11
0	1.11415690074578	0.432	0.02	0	Neuron	Pcsk2
0	1.11278034789311	0.562	0.108	0	Neuron	Dmd
0	1.1101701927451	0.682	0.34	0	Neuron	Vim
0	1.10775771054823	0.551	0.068	0	Neuron	Tspan6
0	1.10355117593222	0.571	0.198	0	Neuron	Cfap20
0	1.09435993590698	0.814	0.505	0	Neuron	Pebp1
0	1.09289839491108	0.468	0.072	0	Neuron	B9d1
0	1.09136883467844	0.719	0.283	0	Neuron	Chpt1
0	1.08953381315719	0.373	0.012	0	Neuron	Acot5
0	1.07935580187174	0.401	0.016	0	Neuron	Pih1d2
0	1.07894549978164	0.773	0.374	0	Neuron	Nfix
0	1.07788559882153	0.405	0.016	0	Neuron	Iqgap2
0	1.07722169728958	0.521	0.147	0	Neuron	Dalrd3
0	1.07622159602411	0.763	0.4	0	Neuron	Hmgn1
0	1.07457988015438	0.315	0.005	0	Neuron	Spag17
0	1.0726310803623	0.503	0.064	0	Neuron	Nr2f1
0	1.07259113308788	0.562	0.214	0	Neuron	Pdcd4
0	1.07256898953726	0.908	0.73	0	Neuron	Hmgb1
0	1.07073380735795	0.448	0.051	0	Neuron	Id4
0	1.07064065428871	0.383	0.017	0	Neuron	Efcab10
0	1.06297075631341	0.543	0.09	0	Neuron	Gm1673
0	1.06182179230069	0.389	0.021	0	Neuron	Cep126
0	1.05652459032031	0.503	0.101	0	Neuron	Ift74
0	1.05462636123486	0.531	0.143	0	Neuron	Ift22
0	1.05454364097357	0.587	0.293	0	Neuron	Dynll2
0	1.05135252888333	0.721	0.284	0	Neuron	Psip1
0	1.05003924863113	0.35	0.007	0	Neuron	Pi15
0	1.04718419857774	0.409	0.021	0	Neuron	Ccdc74a
0	1.04328804282997	0.366	0.009	0	Neuron	Mapk15
0	1.04288006697332	0.549	0.141	0	Neuron	Hsph1
0	1.04210712746053	0.355	0.007	0	Neuron	Slc26a3
0	1.04203597630025	0.535	0.102	0	Neuron	Hoxa7
0	1.04038066142013	0.41	0.045	0	Neuron	Bace2
0	1.03957824718107	0.356	0.01	0	Neuron	C1qtnf3
0	1.03785492965525	0.453	0.071	0	Neuron	Nin
0	1.03720938330411	0.442	0.035	0	Neuron	Rsph9
0	1.03356712812033	0.572	0.159	0	Neuron	Ahi1
0	1.02951045617118	0.371	0.016	0	Neuron	Gm10714
0	1.02900046844771	0.447	0.051	0	Neuron	Ift81
0	1.02574406214187	0.645	0.26	0	Neuron	Msi2
0	1.02421664332343	0.776	0.487	0	Neuron	Prdx2
0	1.02315764007289	0.401	0.029	0	Neuron	Wwc1
0	1.01826513561357	0.711	0.309	0	Neuron	Sptan1
0	1.01719049449641	0.574	0.112	0	Neuron	Ednrb
0	1.01560930165411	0.383	0.015	0	Neuron	4932443I19Rik
0	1.01334443590054	0.935	0.803	0	Neuron	Calm1
0	1.0126443867513	0.454	0.042	0	Neuron	Fmn2
0	1.0079828397372	0.498	0.146	0	Neuron	Pdlim4
0	1.00756856188966	0.361	0.006	0	Neuron	Syt10
0	-1.034444647	0.912	0.86	0	Neuron	Ftl1
0	-1.116255408	0.999	0.998	0	Neuron	Fth1
0	-1.154796492	0.896	0.868	0	Neuron	Ubc
0	-1.164808764	0.994	0.99	0	Neuron	Tmsb4x
0	-1.402641257	0.865	0.838	0	Neuron	Sparc
0	-1.591028611	0.635	0.739	0	Neuron	Rhob
0	-1.607943486	0.997	0.998	0	Neuron	Plp1
0	-1.774122229	0.619	0.734	0	Neuron	B2m
0	-1.820350345	0.551	0.766	0	Neuron	Glul
0	-1.835923126	0.56	0.691	0	Neuron	Nfkbia
0	-1.859984948	0.664	0.782	0	Neuron	Trf
0	-1.928027993	0.41	0.617	0	Neuron	Dusp1
0	-1.960284365	0.997	0.997	0	Neuron	Cst3
0	-1.975068181	0.48	0.726	0	Neuron	Sepp1
0	-2.062757784	0.656	0.758	0	Neuron	Mal
0	-2.133720006	0.725	0.796	0	Neuron	Junb
3.04288565585514e-296	-1.687780497	0.313	0.547	8.51947125926322e-292	Neuron	Ly6e
5.13086954839908e-282	-1.631052081	0.538	0.66	1.43654085616077e-277	Neuron	H2-D1
1.52173785010643e-275	-1.812452941	0.422	0.596	4.26056163272798e-271	Neuron	Ier2
4.91621928313429e-271	-1.719535186	0.422	0.599	1.37644307489194e-266	Neuron	Zfp36
6.68445266927776e-266	-1.435488719	0.153	0.425	1.87151305834439e-261	Neuron	Mef2c
4.84927656286011e-263	-1.737307322	0.748	0.796	1.35770045206957e-258	Neuron	Apod
6.7846526405994e-262	-1.052174341	0.277	0.54	1.89956704631502e-257	Neuron	Arpc1b
1.78772086626022e-259	-1.272775579	0.141	0.408	5.00526088135535e-255	Neuron	Anxa3
5.96150960161165e-259	-1.526987974	0.191	0.447	1.66910345825923e-254	Neuron	Srgn
1.90496930411647e-257	-2.178552425	0.503	0.627	5.33353305766529e-253	Neuron	Klf2
9.65438840441303e-240	-1.257811844	0.105	0.358	2.70303566546756e-235	Neuron	Lmo2
6.64251223234882e-233	-1.397930538	0.482	0.624	1.85977057481302e-228	Neuron	H2-K1
1.22024342413665e-228	-1.105246056	0.265	0.498	3.41643753889779e-224	Neuron	Smad7
8.81667302741646e-219	-1.120649169	0.182	0.417	2.46849211421606e-214	Neuron	Evi2a
1.19303150635346e-217	-2.068998014	0.646	0.72	3.34024961148842e-213	Neuron	Ctss
7.4537059449349e-217	-1.105201455	0.096	0.337	2.08688859046287e-212	Neuron	Itga6
2.18383418059352e-213	-1.205187085	0.098	0.335	6.11429893882575e-209	Neuron	Cd34
7.62064929715562e-206	-1.769643691	0.786	0.792	2.13362939021763e-201	Neuron	Ctsd
2.34224023381094e-205	-1.727026101	0.496	0.623	6.55780420662388e-201	Neuron	Car2
6.88767776576489e-205	-1.324960172	0.434	0.596	1.92841202085885e-200	Neuron	Gatm
7.30863097417117e-201	-1.785996309	0.949	0.948	2.04627050014844e-196	Neuron	Ptgds
3.63272488556427e-196	-1.260577888	0.571	0.652	1.01709031346028e-191	Neuron	Serinc3
4.40915519793292e-196	-1.935796017	0.643	0.71	1.23447527231726e-191	Neuron	Hexb
1.44841744602622e-194	-1.13814744	0.117	0.345	4.05527916538421e-190	Neuron	Cfh
2.41652002963994e-194	-1.014406519	0.096	0.322	6.76577277898591e-190	Neuron	Slco2b1
1.28292115129886e-192	-1.590157881	0.307	0.492	3.59192263940655e-188	Neuron	Kctd12
5.16594385328854e-192	-2.006819289	0.65	0.711	1.44636096004372e-187	Neuron	C1qb
2.03819997383281e-191	-1.377405729	0.147	0.364	5.7065522867371e-187	Neuron	Unc93b1
5.3660385899709e-189	-1.346134752	0.874	0.84	1.50238348442005e-184	Neuron	Jun
1.09237819743883e-188	-2.026732004	0.649	0.708	3.05844047718925e-184	Neuron	C1qa
5.72052993428145e-188	-1.072550494	0.096	0.314	1.60163397100012e-183	Neuron	Nrp1
5.89589621392638e-186	-1.307411117	0.773	0.792	1.65073302197511e-181	Neuron	Fos
3.92589214837431e-184	-1.898030028	0.336	0.5	1.09917128370184e-179	Neuron	Csf1r
2.56374893277578e-182	-1.180385698	0.389	0.544	7.17798426198562e-178	Neuron	Bin1
2.79568647900813e-181	-1.575705387	0.491	0.606	7.82736300392696e-177	Neuron	Lgmn
1.06390871154348e-177	-1.020869112	0.575	0.64	2.97873161057944e-173	Neuron	Npc2
1.74505440294236e-177	-1.511319172	0.276	0.469	4.88580331735802e-173	Neuron	Slc6a6
3.24131616104837e-174	-1.504507739	0.563	0.623	9.07503698770323e-170	Neuron	Btg2
2.11431391323236e-173	-1.63677592	0.249	0.431	5.91965609426796e-169	Neuron	Laptm5
6.85253461674357e-171	-1.251018439	0.307	0.499	1.91857264199587e-166	Neuron	Neat1
7.08038473036737e-171	-1.309360205	0.479	0.591	1.98236611680826e-166	Neuron	Mcl1
1.11591527669615e-167	-1.015223431	0.211	0.418	3.12433959169388e-163	Neuron	Plxdc2
3.43507228467645e-167	-1.377256058	0.34	0.509	9.61751538263712e-163	Neuron	Klf6
2.56338958751208e-166	-1.925531615	0.397	0.53	7.17697816711632e-162	Neuron	Atf3
2.7463722696877e-166	-1.529466561	0.254	0.429	7.68929308067163e-162	Neuron	Ier3
2.87992559309226e-163	-1.474659631	0.612	0.669	8.0632156755397e-159	Neuron	Egr1
1.73345330515182e-161	-1.995515096	0.5	0.596	4.85332256376406e-157	Neuron	C1qc
4.35714589504639e-161	-1.305980446	0.296	0.472	1.21991370769509e-156	Neuron	Grn
9.26351953978908e-161	-1.062529081	0.345	0.513	2.59360020075015e-156	Neuron	Slc3a2
9.64692123792541e-157	-1.030203269	0.493	0.629	2.70094500819436e-152	Neuron	Ptn
2.15214913385304e-154	-1.893584364	0.253	0.421	6.02558714496174e-150	Neuron	Cx3cr1
2.02315281302636e-152	-1.371983776	0.184	0.369	5.66442324591121e-148	Neuron	Nfkbiz
7.26302128830453e-151	-1.231358473	0.121	0.308	2.0335007002995e-146	Neuron	Pld4
8.71617780764269e-151	-1.355983374	0.408	0.545	2.4403554625838e-146	Neuron	Ctsz
4.1722346543705e-149	-1.669757182	0.29	0.444	1.16814225853065e-144	Neuron	Klf4
1.69761216918858e-148	-1.03501264	0.139	0.327	4.75297455129418e-144	Neuron	Efhd2
6.99306626785168e-147	-1.189963373	0.167	0.35	1.95791869367311e-142	Neuron	Vsir
3.06948940611412e-146	-1.569644022	0.449	0.545	8.59395643923833e-142	Neuron	Ier5
1.31523532262777e-143	-1.516616967	0.191	0.363	3.68239585629324e-139	Neuron	Selplg
2.83427941243123e-143	-1.108947932	0.104	0.285	7.93541549892496e-139	Neuron	Ptprc
9.45218250755897e-141	-1.098417022	0.081	0.256	2.64642205846636e-136	Neuron	Eng
1.04338401642632e-138	-1.267625137	0.404	0.52	2.92126656919041e-134	Neuron	Gng11
2.94382420329248e-138	-2.392202475	0.241	0.392	8.24211900437829e-134	Neuron	Igfbp7
7.9018055679019e-138	-2.456757458	0.157	0.323	2.21234752290117e-133	Neuron	Flt1
3.40327033920374e-135	-1.20635935	0.134	0.309	9.52847629570264e-131	Neuron	Plek
6.05265227256166e-135	-1.009231182	0.088	0.261	1.69462158327181e-130	Neuron	Irf8
1.04759179904698e-134	-1.719364976	0.207	0.372	2.93304751897175e-130	Neuron	Mafb
3.14032917984594e-134	-1.596429653	0.099	0.266	8.79229363773267e-130	Neuron	Slco1c1
7.53550641030312e-134	-1.634520915	0.174	0.34	2.10979108475667e-129	Neuron	Id3
2.20792607657368e-132	-1.246499749	0.133	0.303	6.181751429191e-128	Neuron	Tmem119
1.54315410730732e-131	-1.20688759	0.131	0.302	4.32052286963904e-127	Neuron	Siglech
2.36485990549517e-130	-1.047392575	0.335	0.487	6.62113476340537e-126	Neuron	Mef2a
4.29957325741672e-130	-1.109804218	0.134	0.307	1.20379452061153e-125	Neuron	Itgam
4.85890474001493e-130	-1.379150981	0.189	0.355	1.36039614910938e-125	Neuron	Fcrls
3.97045167426679e-128	-1.299690691	0.14	0.303	1.11164705976122e-123	Neuron	Fcgr3
1.23221564140357e-127	-1.034143367	0.088	0.254	3.44995735280172e-123	Neuron	Hpgd
3.23480123268595e-127	-1.512641164	0.182	0.344	9.05679649127412e-123	Neuron	P2ry12
3.28814331084637e-127	-1.018746919	0.091	0.259	9.20614364170767e-123	Neuron	Icam1
4.10187124229912e-127	-1.008258512	0.105	0.272	1.14844191041891e-122	Neuron	Lair1
1.36500993811848e-126	-1.400736863	0.147	0.314	3.82175482474411e-122	Neuron	Cd14
6.71007629611277e-126	-1.632225351	0.307	0.441	1.87868716138565e-121	Neuron	Trem2
1.10341072868398e-125	-1.153579323	0.299	0.44	3.0893293581694e-121	Neuron	Cyba
1.1812307712164e-123	-1.351070128	0.135	0.296	3.30720991325169e-119	Neuron	Gpr34
1.57868948383947e-123	-1.048901032	0.134	0.301	4.42001481685374e-119	Neuron	Mpeg1
1.37248396443177e-121	-1.476058544	0.229	0.38	3.84268060361608e-117	Neuron	Ly86
6.1140782131453e-121	-1.046137937	0.777	0.803	1.71181961811642e-116	Neuron	Mbp
2.12661602174575e-120	1.26984234459705	0.355	0.212	5.95409953768374e-116	Neuron	Fyn
1.15768830039651e-116	-1.415421979	0.105	0.257	3.24129570345015e-112	Neuron	Vwa1
1.38754293992241e-116	-1.507205936	0.46	0.543	3.88484272319478e-112	Neuron	Mobp
1.29672931363695e-115	-2.402438431	0.316	0.443	3.63058273232073e-111	Neuron	Cldn5
1.11985189627512e-114	-1.878748477	0.142	0.291	3.13536133919107e-110	Neuron	Slco1a4
1.02542429388772e-113	-1.651313428	0.392	0.497	2.87098293802684e-109	Neuron	Tyrobp
1.34849394897846e-113	-1.442874525	0.589	0.643	3.77551335834989e-109	Neuron	Mag
6.65368077552073e-112	-1.263493842	0.186	0.336	1.86289754353029e-107	Neuron	Olfml3
1.02150143289061e-111	-1.436267244	0.244	0.384	2.85999971180712e-107	Neuron	Cd83
3.31138838187273e-111	-1.113333456	0.124	0.278	9.27122519156726e-107	Neuron	Bcl2a1b
1.1681343814095e-109	-1.022042948	0.12	0.271	3.27054264107033e-105	Neuron	Fyb
1.53089099242934e-109	-1.644734982	0.321	0.439	4.28618860060368e-105	Neuron	Fcer1g
6.7714869842536e-108	-1.604657166	0.316	0.433	1.89588092585132e-103	Neuron	Ermn
9.46472111739995e-108	-1.239336537	0.233	0.372	2.64993261844964e-103	Neuron	Ttll7
5.77757589290322e-106	-1.108503757	0.301	0.417	1.61760569849504e-101	Neuron	Ndrg1
6.23021476613205e-105	-2.38458516	0.332	0.442	1.74433553022165e-100	Neuron	Ly6c1
8.05847535264576e-104	-2.128658404	0.248	0.377	2.25621192923376e-99	Neuron	Ly6a
2.50954315297729e-103	-1.133443702	0.167	0.311	7.02621891970581e-99	Neuron	Aif1
3.9402175844483e-102	-1.270197887	0.489	0.558	1.10318211929383e-97	Neuron	Fosb
2.54806556099504e-101	-1.396476709	0.484	0.544	7.13407395767391e-97	Neuron	Sept4
3.78045023926296e-101	-1.14699448	0.129	0.274	1.05845045798884e-96	Neuron	Il1a
3.86326246832089e-100	-1.773530466	0.169	0.304	1.08163622588048e-95	Neuron	Id1
1.29354404570843e-99	-2.297287422	0.145	0.282	3.62166461917446e-95	Neuron	Cxcl12
1.04387539413882e-96	-1.261778758	0.148	0.284	2.92264232850987e-92	Neuron	Slc9a3r2
2.52865587274167e-96	-1.05333347	0.504	0.567	7.07973071250213e-92	Neuron	Sat1
2.00369251189871e-95	-1.349861612	0.244	0.367	5.60993829481401e-91	Neuron	Rgs10
6.45802295655518e-95	-1.618050323	0.121	0.255	1.80811726737632e-90	Neuron	Car4
6.21542299722115e-93	-1.031264493	0.155	0.298	1.74019413076198e-88	Neuron	Cd52
2.97989529895682e-91	-1.633570825	0.15	0.28	8.34311085801931e-87	Neuron	Pglyrp1
3.4724143384795e-91	-1.274731082	0.366	0.462	9.72206566487492e-87	Neuron	Ppp1r14a
2.44509922089252e-90	-1.088247424	0.354	0.454	6.84578879865488e-86	Neuron	Slc12a2
2.18279074693589e-88	-1.423903146	0.13	0.256	6.1113775332711e-84	Neuron	Egfl7
9.05412874972444e-87	-1.60573506	0.659	0.653	2.53497496734785e-82	Neuron	Aplp1
2.50641221222915e-82	-1.049333146	0.174	0.3	7.01745291179916e-78	Neuron	Hcn2
3.26358024341277e-82	-1.049958359	0.235	0.357	9.13737196550709e-78	Neuron	Pdlim2
1.81476354210302e-81	-1.144712444	0.129	0.257	5.08097496518005e-77	Neuron	Lyz2
2.10473156432652e-74	-1.133102822	0.153	0.267	5.89282743380138e-70	Neuron	Abcg2
2.79288243241505e-72	-1.260343043	0.226	0.34	7.81951223427567e-68	Neuron	Adamts1
6.24158109683257e-72	-1.107073305	0.258	0.357	1.74751787549118e-67	Neuron	Itgb5
3.2455229166367e-71	-1.508344824	0.153	0.266	9.08681506199944e-67	Neuron	Ctla2a
1.97645553478229e-70	-1.383488389	0.386	0.455	5.53368020628346e-66	Neuron	Mog
2.68294106358364e-70	-1.868249182	0.894	0.853	7.51169838982148e-66	Neuron	Bsg
3.30155351831136e-69	-1.189723994	0.514	0.558	9.24368954056814e-65	Neuron	Cldn11
2.90179829064308e-68	-1.118043734	0.27	0.367	8.1244548541425e-64	Neuron	Socs3
1.48982766823381e-67	-2.328993639	0.329	0.403	4.17121950552102e-63	Neuron	Itm2a
1.27702651438628e-61	-1.097390496	0.196	0.294	3.5754188349787e-57	Neuron	Epas1
3.43518108664935e-56	1.00352650330903	0.694	0.538	9.61782000640085e-52	Neuron	Sirt2
7.75093497505526e-54	-1.282242478	0.39	0.436	2.17010677431597e-49	Neuron	Gsn
2.06989058351548e-50	-1.011748517	0.208	0.289	5.79527965572664e-46	Neuron	Aspa
3.34189838834971e-48	-1.254292517	0.277	0.353	9.35664710770152e-44	Neuron	Opalin
2.90238471274482e-47	-1.204466097	0.376	0.419	8.12609671874295e-43	Neuron	Stmn4
2.53741115821988e-46	-1.235415183	0.944	0.913	7.10424376078403e-42	Neuron	Apoe
1.13975351366455e-45	-1.007749851	0.362	0.413	3.191081887558e-41	Neuron	Csrp1
7.24515117623956e-43	-1.443451987	0.195	0.265	2.02849742632355e-38	Neuron	Ramp2
8.11336271213687e-41	-1.757633536	0.235	0.296	2.27157929214408e-36	Neuron	Spock2
2.82213026048108e-40	-1.469434966	0.271	0.344	7.90140030329491e-36	Neuron	Ccl4
3.93725241899806e-39	-1.232750891	0.577	0.563	1.10235193227108e-34	Neuron	Qdpr
4.55429076176621e-35	-1.058144969	0.316	0.362	1.2751103274793e-30	Neuron	Cebpb
1.65339583669989e-30	-1.037788678	0.247	0.319	4.62917766359236e-26	Neuron	Hspa1a
1.33041981205192e-27	-1.183366271	0.299	0.328	3.72490938978297e-23	Neuron	Pex5l
1.61928583540691e-26	-1.39441634	0.312	0.34	4.53367648197226e-22	Neuron	Hspb1
